2023-08-18 16:34:53,357 INFO    MainThread:47173 [wandb_setup.py:_flush():76] Current SDK version is 0.15.8
2023-08-18 16:34:53,358 INFO    MainThread:47173 [wandb_setup.py:_flush():76] Configure stats pid to 47173
2023-08-18 16:34:53,358 INFO    MainThread:47173 [wandb_setup.py:_flush():76] Loading settings from /Users/sangbin/.config/wandb/settings
2023-08-18 16:34:53,358 INFO    MainThread:47173 [wandb_setup.py:_flush():76] Loading settings from /Users/sangbin/Impala/wandb/settings
2023-08-18 16:34:53,358 INFO    MainThread:47173 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2023-08-18 16:34:53,358 INFO    MainThread:47173 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2023-08-18 16:34:53,358 INFO    MainThread:47173 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'launch.py', 'program': '/Users/sangbin/Impala/launch.py'}
2023-08-18 16:34:53,359 INFO    MainThread:47173 [wandb_init.py:_log_setup():507] Logging user logs to /Users/sangbin/Impala/wandb/run-20230818_163453-hwno13cp/logs/debug.log
2023-08-18 16:34:53,359 INFO    MainThread:47173 [wandb_init.py:_log_setup():508] Logging internal logs to /Users/sangbin/Impala/wandb/run-20230818_163453-hwno13cp/logs/debug-internal.log
2023-08-18 16:34:53,359 INFO    MainThread:47173 [wandb_init.py:init():547] calling init triggers
2023-08-18 16:34:53,360 INFO    MainThread:47173 [wandb_init.py:init():554] wandb.init called with sweep_config: {}
config: {}
2023-08-18 16:34:53,360 INFO    MainThread:47173 [wandb_init.py:init():596] starting backend
2023-08-18 16:34:53,360 INFO    MainThread:47173 [wandb_init.py:init():600] setting up manager
2023-08-18 16:34:53,364 INFO    MainThread:47173 [backend.py:_multiprocessing_setup():106] multiprocessing start_methods=spawn,fork,forkserver, using: spawn
2023-08-18 16:34:53,367 INFO    MainThread:47173 [wandb_init.py:init():606] backend started and connected
2023-08-18 16:34:53,376 INFO    MainThread:47173 [wandb_init.py:init():697] updated telemetry
2023-08-18 16:34:53,407 INFO    MainThread:47173 [wandb_init.py:init():730] communicating run to backend with 60.0 second timeout
2023-08-18 16:34:54,011 INFO    MainThread:47173 [wandb_run.py:_on_init():2180] communicating current version
2023-08-18 16:34:54,076 INFO    MainThread:47173 [wandb_run.py:_on_init():2189] got version response 
2023-08-18 16:34:54,076 INFO    MainThread:47173 [wandb_init.py:init():781] starting run threads in backend
2023-08-18 16:34:54,138 INFO    MainThread:47173 [wandb_run.py:_console_start():2159] atexit reg
2023-08-18 16:34:54,139 INFO    MainThread:47173 [wandb_run.py:_redirect():2014] redirect: wrap_raw
2023-08-18 16:34:54,139 INFO    MainThread:47173 [wandb_run.py:_redirect():2079] Wrapping output streams.
2023-08-18 16:34:54,139 INFO    MainThread:47173 [wandb_run.py:_redirect():2104] Redirects installed.
2023-08-18 16:34:54,139 INFO    MainThread:47173 [wandb_init.py:init():822] run started, returning control to user process
2023-08-18 16:46:26,083 WARNING MsgRouterThr:47173 [router.py:message_loop():77] message_loop has been closed
